task_id,project_duration_days,task_duration_days,completion_percentage,delay_days,workers_assigned,material_shortage_flag,predicted_completion_days_left,estimated_extra_workers,recommended_schedule_change
541,360,51,66,7,1,0,24,0,Add 1 shift/week
542,179,36,78,5,7,0,12,3,Increase Overtime
543,312,51,73,2,2,0,15,0,Add 1 shift/week
544,302,43,44,14,2,1,38,2,No Change
545,209,9,87,13,1,0,14,2,Add 1 shift/week
546,311,42,48,3,1,1,24,2,Add 1 shift/week
547,104,58,22,3,6,1,48,0,No Change
548,158,35,70,8,8,1,18,1,Increase Overtime
549,213,38,29,14,5,1,40,2,Reassign Workers
550,223,11,29,1,2,0,8,2,Reassign Workers
551,242,39,69,14,2,0,26,1,Increase Overtime
552,170,53,56,14,2,1,37,2,Increase Overtime
553,347,53,50,5,10,1,31,1,Increase Overtime
554,272,49,1,15,4,1,63,3,Increase Overtime
555,205,34,36,15,10,0,36,0,Reassign Workers
556,360,40,32,5,3,0,32,0,Increase Overtime
557,96,12,17,9,10,1,18,0,Add 1 shift/week
558,320,23,30,14,10,0,30,2,Reassign Workers
559,226,38,96,8,10,1,9,1,Reassign Workers
560,171,40,2,15,8,0,54,0,No Change
561,275,36,82,15,3,0,21,1,Reassign Workers
562,238,17,75,12,1,1,16,1,No Change
563,174,19,47,15,4,0,25,0,Increase Overtime
564,179,48,21,7,3,0,44,0,Increase Overtime
565,189,17,40,9,8,0,19,2,Reassign Workers
566,309,24,91,2,5,0,4,3,Reassign Workers
567,235,28,9,1,6,0,26,2,Reassign Workers
568,253,30,73,13,3,1,21,2,Add 1 shift/week
569,143,19,22,6,4,0,20,0,Increase Overtime
570,188,22,66,14,6,1,21,2,Reassign Workers
571,259,21,70,9,9,0,15,0,Increase Overtime
572,114,41,3,6,7,0,45,0,No Change
573,348,31,16,4,5,0,30,3,Increase Overtime
574,105,34,81,5,1,0,11,1,Reassign Workers
575,200,53,35,11,2,0,45,0,Add 1 shift/week
576,221,13,1,7,4,0,19,3,Add 1 shift/week
577,159,46,34,10,4,0,40,3,Reassign Workers
578,295,9,78,5,7,1,6,1,Reassign Workers
579,348,52,36,9,1,0,42,3,Reassign Workers
580,344,49,29,14,10,1,48,0,Increase Overtime
581,168,23,5,13,6,1,34,0,Reassign Workers
582,268,12,21,12,5,0,21,0,Add 1 shift/week
583,103,42,46,15,3,1,37,0,Reassign Workers
584,127,21,50,5,1,0,15,0,No Change
585,161,59,35,9,4,0,47,1,Add 1 shift/week
586,139,49,100,0,8,0,0,0,No Change
587,173,56,14,5,7,1,53,2,Add 1 shift/week
588,168,28,64,4,1,1,14,3,Increase Overtime
589,325,19,53,12,7,0,20,3,Add 1 shift/week
590,345,27,32,2,5,1,20,1,Add 1 shift/week
591,122,40,81,5,7,0,12,2,Increase Overtime
592,331,7,55,11,1,0,14,3,Reassign Workers
593,212,48,10,5,6,0,48,1,No Change
594,241,13,60,3,1,0,8,3,Reassign Workers
595,239,30,46,0,3,0,16,3,Increase Overtime
596,109,20,65,6,2,0,13,2,Reassign Workers
597,115,37,75,6,5,1,15,1,Reassign Workers
598,117,57,65,1,8,0,20,3,Add 1 shift/week
599,138,59,91,8,5,0,13,2,Reassign Workers
600,307,27,9,9,10,0,33,3,Increase Overtime
601,222,16,54,13,6,0,20,2,Add 1 shift/week
602,148,45,93,11,9,1,14,3,Reassign Workers
603,295,42,95,14,4,1,16,0,Reassign Workers
604,171,19,25,5,3,1,19,0,Increase Overtime
605,103,54,36,0,3,1,34,2,Reassign Workers
606,255,16,11,10,1,0,24,2,No Change
607,321,52,55,15,3,1,38,1,Add 1 shift/week
608,174,26,69,2,1,1,10,3,Increase Overtime
609,201,52,42,12,2,1,42,1,Add 1 shift/week
610,141,27,43,1,7,0,16,1,Increase Overtime
611,159,14,61,2,3,1,7,1,Increase Overtime
612,304,18,45,10,6,0,19,0,Add 1 shift/week
613,248,56,84,2,1,0,10,2,Add 1 shift/week
614,190,24,20,15,6,0,34,2,No Change
615,332,27,19,3,6,0,24,0,Add 1 shift/week
616,269,24,88,3,7,1,5,3,Add 1 shift/week
617,319,42,22,8,9,0,40,2,No Change
618,236,56,60,13,6,1,35,1,No Change
619,315,52,91,14,7,1,18,3,No Change
620,212,21,23,2,2,1,18,2,Add 1 shift/week
621,282,25,44,7,8,0,21,1,Increase Overtime
622,359,54,12,5,9,0,52,0,Add 1 shift/week
623,340,21,51,10,7,1,20,0,Increase Overtime
624,344,58,36,11,9,1,48,0,Add 1 shift/week
625,127,26,89,1,7,0,3,2,No Change
626,270,59,94,15,10,0,18,2,No Change
627,228,27,50,3,9,1,16,0,Add 1 shift/week
628,205,48,81,7,9,1,16,0,Reassign Workers
629,210,45,42,13,2,1,39,2,Reassign Workers
630,337,12,16,4,4,0,14,2,Reassign Workers
631,192,49,17,2,7,0,42,3,No Change
632,271,47,44,2,3,1,28,3,Increase Overtime
633,239,19,74,9,8,0,13,0,Increase Overtime
634,269,40,17,5,3,1,38,0,No Change
635,300,56,77,2,7,1,14,3,Reassign Workers
636,335,11,76,9,4,1,11,3,Reassign Workers
637,265,40,39,3,1,1,27,3,Increase Overtime
638,212,50,68,8,7,1,24,1,Increase Overtime
639,307,56,16,7,8,1,54,3,Reassign Workers
640,254,49,74,5,9,1,17,1,Increase Overtime
641,138,37,85,9,8,1,14,1,No Change
642,343,27,85,4,3,1,8,0,Increase Overtime
643,334,13,4,0,4,1,12,3,Add 1 shift/week
644,338,59,32,10,7,1,50,3,Reassign Workers
645,219,42,69,11,5,1,24,0,No Change
646,152,35,50,15,8,0,32,0,No Change
647,144,58,59,0,3,0,23,0,Reassign Workers
648,331,45,45,8,7,1,32,0,Add 1 shift/week
649,218,48,51,1,10,0,24,2,Increase Overtime
650,298,32,1,12,1,0,43,2,Reassign Workers
651,180,52,90,12,4,1,17,3,Reassign Workers
652,92,11,71,10,9,1,13,3,Increase Overtime
653,341,27,44,14,2,1,29,2,Reassign Workers
654,328,14,4,15,5,0,28,0,No Change
655,356,15,52,5,6,1,12,1,Add 1 shift/week
656,338,16,57,7,5,0,13,3,No Change
657,298,11,88,5,4,1,6,1,Increase Overtime
658,188,32,29,12,5,0,34,0,Increase Overtime
659,318,18,30,9,10,0,21,3,Increase Overtime
660,211,39,76,10,6,0,19,2,Add 1 shift/week
661,208,21,87,7,2,0,9,1,Increase Overtime
662,278,54,0,14,9,0,68,1,Add 1 shift/week
663,121,25,74,4,6,0,10,1,Add 1 shift/week
664,314,15,94,11,8,1,11,1,Reassign Workers
665,129,60,13,5,3,0,57,3,Reassign Workers
666,141,28,8,0,10,0,25,3,No Change
667,220,40,42,1,1,1,24,2,Increase Overtime
668,112,32,25,7,8,1,31,3,Add 1 shift/week
669,267,57,45,6,9,1,37,1,No Change
670,202,41,38,10,5,1,35,2,Add 1 shift/week
671,165,28,78,13,10,0,19,0,Increase Overtime
672,357,48,16,5,4,1,45,3,Reassign Workers
673,243,46,78,0,7,1,10,2,Reassign Workers
674,336,25,53,1,9,1,12,3,Reassign Workers
675,295,59,60,2,10,1,25,0,Reassign Workers
676,170,44,20,7,7,1,42,1,Increase Overtime
677,176,38,18,4,9,0,35,3,Add 1 shift/week
678,237,26,55,11,6,0,22,1,Reassign Workers
679,159,42,71,9,2,1,21,2,Reassign Workers
680,134,48,16,12,1,1,52,3,Reassign Workers
681,177,12,54,4,5,0,9,2,No Change
682,168,59,43,7,10,0,40,1,Add 1 shift/week
683,365,60,73,6,2,0,22,2,No Change
684,309,46,96,10,3,0,11,0,Add 1 shift/week
685,117,36,66,15,10,0,27,1,No Change
686,313,33,52,7,9,1,22,2,No Change
687,265,22,5,6,6,0,26,3,Add 1 shift/week
688,91,32,32,11,3,0,32,0,No Change
689,97,18,24,13,9,0,26,1,Reassign Workers
690,150,32,85,14,5,0,18,0,Reassign Workers
691,251,53,55,14,1,1,37,2,Add 1 shift/week
692,231,26,78,6,1,0,11,1,Increase Overtime
693,198,8,58,4,2,1,7,3,Reassign Workers
694,296,42,58,2,3,0,19,2,No Change
695,211,22,56,0,1,0,9,3,No Change
696,122,28,97,10,8,1,10,0,Add 1 shift/week
697,215,55,38,7,5,0,41,0,No Change
698,179,18,17,14,9,1,28,1,Add 1 shift/week
699,255,60,29,12,3,0,54,0,Reassign Workers
700,217,16,63,0,10,0,5,2,Increase Overtime
701,178,8,5,7,10,0,14,1,Increase Overtime
702,147,14,2,4,2,1,17,2,Add 1 shift/week
703,141,44,4,5,9,0,47,1,Increase Overtime
704,234,9,97,0,4,0,1,0,Reassign Workers
705,263,54,73,10,2,0,24,1,Add 1 shift/week
706,179,52,72,6,6,1,20,0,Increase Overtime
707,150,31,99,10,2,1,10,3,No Change
708,212,52,65,0,7,1,18,0,Increase Overtime
709,178,13,55,5,9,1,10,3,Add 1 shift/week
710,350,11,4,3,3,1,13,2,Reassign Workers
711,303,27,49,0,1,1,13,0,Increase Overtime
712,281,43,73,14,2,0,25,1,No Change
713,346,34,90,5,1,0,8,0,Add 1 shift/week
714,201,45,58,13,1,1,31,3,No Change
715,123,46,61,7,3,1,24,3,Reassign Workers
716,188,10,86,13,3,1,14,3,Add 1 shift/week
717,103,18,42,3,5,0,13,2,Reassign Workers
718,149,31,37,5,10,1,24,0,No Change
719,180,56,28,1,3,0,41,3,Add 1 shift/week
720,283,14,34,1,8,1,10,2,Increase Overtime
721,287,35,5,10,2,1,43,2,Increase Overtime
722,172,43,97,15,7,1,16,2,Reassign Workers
723,215,17,99,11,9,1,11,0,Reassign Workers
724,307,57,45,12,5,1,43,1,Reassign Workers
725,333,53,12,11,1,1,57,0,Increase Overtime
726,337,20,65,5,10,0,12,3,Reassign Workers
727,233,20,63,11,6,0,18,3,Reassign Workers
728,353,27,98,5,3,1,5,0,Reassign Workers
729,98,52,30,10,7,0,46,3,Increase Overtime
730,271,9,28,3,5,1,9,0,Increase Overtime
731,196,37,1,7,3,1,43,1,No Change
732,329,56,68,3,6,1,20,2,Reassign Workers
733,239,36,70,12,8,0,22,0,Reassign Workers
734,190,52,21,14,2,0,55,0,Add 1 shift/week
735,172,26,16,1,7,1,22,0,No Change
736,326,32,10,9,8,0,37,0,Reassign Workers
737,316,24,63,11,10,0,19,3,Reassign Workers
738,298,31,96,10,8,1,11,1,Increase Overtime
739,234,43,88,14,3,1,19,3,Reassign Workers
740,228,34,10,5,3,0,35,2,Reassign Workers
741,117,25,45,11,4,0,24,2,Increase Overtime
742,114,52,80,10,7,1,20,2,No Change
743,216,51,23,8,1,1,47,3,Increase Overtime
744,128,60,62,7,3,0,29,2,Add 1 shift/week
745,345,50,21,8,7,0,47,2,Reassign Workers
746,256,48,1,11,8,1,58,1,Reassign Workers
747,267,33,45,14,1,0,32,1,Add 1 shift/week
748,306,23,23,1,10,0,18,2,Increase Overtime
749,212,47,7,9,6,0,52,3,Reassign Workers
750,136,7,100,0,2,1,0,0,No Change
751,170,59,99,11,6,0,11,1,Add 1 shift/week
752,134,56,91,10,9,0,15,3,No Change
753,353,13,68,2,9,0,6,2,Reassign Workers
754,354,35,66,12,6,1,23,2,Reassign Workers
755,291,58,49,14,4,1,43,0,No Change
756,105,33,78,9,1,1,16,0,Reassign Workers
757,324,11,84,9,3,1,10,0,Reassign Workers
758,230,58,36,9,5,0,46,2,Add 1 shift/week
759,135,24,81,10,5,1,14,1,No Change
760,260,43,47,11,9,0,33,2,Reassign Workers
761,110,16,16,15,8,0,28,2,Reassign Workers
762,252,7,41,9,1,1,13,1,Reassign Workers
763,235,21,23,3,8,0,19,3,No Change
764,166,59,30,2,8,1,43,1,Reassign Workers
765,273,31,53,13,4,1,27,0,Reassign Workers
766,205,58,7,5,4,1,58,3,Increase Overtime
767,315,7,65,2,7,1,4,2,No Change
768,123,51,81,7,10,0,16,0,Reassign Workers
769,94,13,16,11,9,1,21,3,No Change
770,220,31,80,11,8,0,17,0,Add 1 shift/week
771,195,45,10,8,3,0,48,3,Increase Overtime
772,209,21,52,1,6,1,11,2,Add 1 shift/week
773,169,56,37,11,4,1,46,1,Add 1 shift/week
774,119,27,100,0,9,1,0,0,No Change
775,251,17,10,7,8,0,22,0,Add 1 shift/week
776,300,32,83,6,9,1,11,2,Reassign Workers
777,201,25,25,8,2,0,26,1,Reassign Workers
778,246,50,53,13,5,0,36,3,Reassign Workers
779,286,22,44,0,7,0,12,3,Reassign Workers
780,189,50,69,8,3,0,23,1,Add 1 shift/week
781,300,43,100,0,1,1,0,0,No Change
782,273,22,60,9,10,1,17,3,Reassign Workers
783,362,15,84,14,10,1,16,3,Add 1 shift/week
784,351,40,30,2,5,1,30,2,Reassign Workers
785,295,11,0,7,8,0,18,0,No Change
786,340,59,61,1,7,1,24,1,Add 1 shift/week
787,338,56,53,7,6,1,33,3,Reassign Workers
788,242,16,5,4,6,1,19,0,Add 1 shift/week
789,231,29,60,10,3,0,21,1,Increase Overtime
790,323,12,29,3,4,1,11,1,Reassign Workers
791,225,60,72,7,1,1,23,2,No Change
792,258,57,13,8,1,1,57,2,Reassign Workers
793,162,19,73,1,6,0,6,1,Reassign Workers
794,264,44,26,8,8,1,40,1,Increase Overtime
795,190,21,42,4,8,1,16,1,No Change
796,189,36,1,5,8,1,40,2,No Change
797,149,21,89,0,8,0,2,1,Increase Overtime
798,186,56,25,2,1,1,44,3,No Change
799,197,59,19,10,3,0,57,2,Increase Overtime
800,123,49,56,1,6,1,22,2,No Change
801,100,53,96,1,3,1,3,3,Increase Overtime
802,116,9,52,4,7,0,8,3,Add 1 shift/week
803,282,58,32,12,9,0,51,2,No Change
804,241,45,87,14,5,1,19,0,Add 1 shift/week
805,317,7,24,8,5,0,13,2,Reassign Workers
806,228,10,44,15,10,0,20,2,No Change
807,178,18,17,9,8,0,23,2,No Change
808,199,35,48,11,2,1,29,0,No Change
809,186,20,41,4,9,0,15,3,No Change
810,121,18,80,13,6,1,16,3,No Change
811,302,16,74,0,4,1,4,2,Add 1 shift/week
812,333,46,69,1,10,1,15,1,No Change
813,339,43,6,0,7,1,40,2,Add 1 shift/week
814,340,58,53,13,5,0,40,1,Increase Overtime
815,207,23,40,4,10,0,17,0,No Change
816,200,44,100,0,2,0,0,0,No Change
817,123,23,45,3,4,0,15,2,Add 1 shift/week
818,250,57,70,6,9,0,23,3,Increase Overtime
819,311,26,96,12,5,1,13,3,No Change
820,260,31,88,13,2,0,16,3,Add 1 shift/week
821,334,31,8,0,8,1,28,1,Add 1 shift/week
822,154,36,11,13,5,0,45,2,Increase Overtime
823,249,58,59,4,8,0,27,3,Reassign Workers
824,258,36,99,6,3,0,6,3,Increase Overtime
825,329,43,14,13,6,0,49,0,Reassign Workers
826,110,55,68,9,6,1,26,3,No Change
827,278,14,31,11,5,0,20,2,Reassign Workers
828,347,53,30,13,9,1,50,0,No Change
829,245,19,66,0,2,1,6,3,Increase Overtime
830,327,41,50,14,2,1,34,0,Add 1 shift/week
831,247,15,94,2,10,0,2,3,Add 1 shift/week
832,332,15,11,14,3,1,27,0,No Change
833,276,30,22,1,10,1,24,1,Reassign Workers
834,350,13,1,7,3,0,19,1,No Change
835,189,8,23,7,2,1,13,2,Add 1 shift/week
836,221,7,60,6,9,1,8,1,Reassign Workers
837,147,37,42,11,10,0,32,0,Increase Overtime
838,187,48,81,7,5,0,16,3,Increase Overtime
839,200,22,43,15,6,1,27,0,Add 1 shift/week
840,238,31,63,3,8,0,14,2,Reassign Workers
841,109,47,26,4,7,1,38,3,Reassign Workers
842,305,23,50,12,5,0,23,2,Reassign Workers
843,258,43,8,0,1,0,39,3,Reassign Workers
844,314,32,14,9,1,1,36,2,Reassign Workers
845,341,59,25,2,1,1,46,3,Add 1 shift/week
846,207,31,53,11,10,1,25,3,Add 1 shift/week
847,145,48,59,10,7,1,29,0,No Change
848,311,51,46,8,7,0,35,0,No Change
849,111,58,56,15,10,0,40,0,No Change
850,161,16,41,14,5,0,23,1,No Change
851,90,22,98,1,3,0,1,1,No Change
852,339,8,60,0,4,0,3,3,Increase Overtime
853,168,10,64,9,3,1,12,2,Increase Overtime
854,261,60,94,2,5,0,5,2,Reassign Workers
855,139,32,76,7,2,0,14,0,Add 1 shift/week
856,282,22,34,14,4,1,28,3,Increase Overtime
857,196,33,61,3,2,0,15,3,Increase Overtime
858,106,25,17,5,1,1,25,3,Add 1 shift/week
859,99,39,44,9,7,1,30,3,Reassign Workers
860,183,32,0,15,9,0,47,3,Increase Overtime
861,93,42,12,13,6,0,49,1,Add 1 shift/week
862,180,31,13,5,2,1,31,3,No Change
863,303,49,13,6,5,0,48,1,No Change
864,105,34,81,11,4,1,17,3,Add 1 shift/week
865,224,57,29,15,1,0,55,2,Reassign Workers
866,250,51,59,10,9,1,30,3,No Change
867,278,8,91,0,2,1,1,1,Reassign Workers
868,125,38,25,11,6,0,39,3,Add 1 shift/week
869,165,26,91,1,6,0,3,3,Increase Overtime
870,124,29,95,6,6,0,7,2,Increase Overtime
871,194,59,28,4,10,1,46,3,Increase Overtime
872,296,31,72,9,7,1,17,2,Add 1 shift/week
873,103,19,19,1,2,0,16,0,Increase Overtime
874,242,53,46,10,8,0,38,2,Reassign Workers
875,109,42,59,14,3,0,31,3,Increase Overtime
876,186,55,62,9,6,0,29,0,Increase Overtime
877,329,15,17,13,5,0,25,1,Reassign Workers
878,183,43,10,13,9,1,51,1,Increase Overtime
879,170,31,79,13,1,0,19,3,No Change
880,284,9,35,15,8,0,20,2,Add 1 shift/week
881,339,38,22,4,2,0,33,0,Reassign Workers
882,268,30,92,1,2,1,3,0,No Change
883,313,46,44,3,1,1,28,1,No Change
884,269,34,65,10,4,1,21,1,No Change
885,167,39,31,12,4,0,38,3,Reassign Workers
886,122,45,39,12,5,0,39,3,No Change
887,289,20,92,11,10,0,12,3,No Change
888,151,43,100,0,6,1,0,0,No Change
889,166,49,19,2,4,0,41,1,Add 1 shift/week
890,172,53,75,13,2,1,26,0,No Change
891,192,59,30,12,1,1,53,3,Reassign Workers
892,157,38,14,8,3,1,40,1,Reassign Workers
893,245,27,61,4,1,0,14,1,Add 1 shift/week
894,92,7,77,8,2,0,9,2,Increase Overtime
895,166,58,13,0,9,0,50,3,Increase Overtime
896,211,46,8,14,10,0,56,3,Increase Overtime
897,305,48,15,0,10,0,40,3,Add 1 shift/week
898,322,44,49,11,3,1,33,3,Increase Overtime
899,136,59,77,11,6,0,24,1,No Change
900,193,9,34,14,7,1,19,1,Increase Overtime
901,222,23,58,11,3,0,20,3,Reassign Workers
902,219,14,20,9,9,0,20,2,Reassign Workers
903,143,53,36,8,2,1,41,1,Increase Overtime
904,115,57,8,7,2,0,59,1,Reassign Workers
905,342,58,83,9,5,0,18,0,Increase Overtime
906,167,58,12,4,7,1,55,2,Add 1 shift/week
907,115,37,69,0,4,0,11,0,Reassign Workers
908,272,30,42,6,9,0,23,3,Increase Overtime
909,184,30,25,13,1,1,35,1,No Change
910,320,52,18,15,9,1,57,2,Increase Overtime
911,123,7,88,10,4,0,10,1,No Change
912,143,45,78,2,1,0,11,2,Increase Overtime
913,222,52,42,10,2,0,40,0,Add 1 shift/week
914,273,57,55,2,2,0,27,3,Reassign Workers
915,226,7,66,6,3,0,8,1,Add 1 shift/week
916,140,51,98,10,2,1,11,2,Add 1 shift/week
917,322,25,7,6,7,0,29,0,Reassign Workers
918,313,51,88,8,7,0,14,1,Add 1 shift/week
919,144,50,80,8,4,1,18,3,Increase Overtime
920,338,21,21,15,3,0,31,3,Reassign Workers
921,125,10,64,9,7,0,12,3,Increase Overtime
922,156,19,32,4,4,0,16,1,Reassign Workers
923,243,16,62,15,4,0,21,2,No Change
924,198,40,17,4,2,0,37,1,No Change
925,232,34,45,13,10,0,31,2,Reassign Workers
926,329,7,36,11,1,1,15,3,Reassign Workers
927,102,38,48,9,5,0,28,0,Add 1 shift/week
928,271,8,29,8,3,1,13,0,Add 1 shift/week
929,95,42,47,7,3,0,29,1,Add 1 shift/week
930,240,28,4,3,9,1,29,1,Reassign Workers
931,245,34,81,0,8,0,6,3,Reassign Workers
932,266,45,66,5,10,1,20,0,Add 1 shift/week
933,107,39,62,14,7,0,28,0,Reassign Workers
934,207,26,46,2,4,0,16,1,Add 1 shift/week
935,150,38,71,5,10,1,16,3,No Change
936,267,51,95,2,7,0,4,0,Reassign Workers
937,288,57,54,13,5,0,39,3,Reassign Workers
938,227,18,13,3,3,1,18,1,Increase Overtime
939,290,55,97,14,8,1,15,0,Reassign Workers
940,102,48,54,6,8,0,28,0,Reassign Workers
941,215,59,46,0,5,1,31,1,Increase Overtime
942,197,9,88,11,7,0,12,3,No Change
943,262,55,63,1,3,1,21,0,Add 1 shift/week
944,230,55,5,12,8,0,64,3,Add 1 shift/week
945,205,42,96,11,5,0,12,1,Increase Overtime
946,165,14,5,11,7,1,24,0,Reassign Workers
947,365,7,55,12,3,1,15,1,Reassign Workers
948,127,53,56,1,8,0,24,3,Increase Overtime
949,181,8,57,10,9,0,13,3,No Change
950,339,55,9,13,5,0,63,0,No Change
951,312,22,4,6,5,1,27,3,No Change
952,361,59,80,6,9,0,17,0,Add 1 shift/week
953,96,57,7,3,7,1,56,3,Reassign Workers
954,192,32,69,4,9,0,13,1,Increase Overtime
955,348,13,51,3,9,1,9,0,No Change
956,96,56,14,10,4,1,58,3,Add 1 shift/week
957,141,52,21,0,10,0,41,2,Reassign Workers
958,242,55,45,12,5,1,42,2,Increase Overtime
959,342,12,38,1,5,1,8,2,Reassign Workers
960,248,46,78,10,1,1,20,1,Add 1 shift/week
961,126,58,91,2,9,0,7,2,Increase Overtime
962,248,50,19,15,4,0,55,0,Add 1 shift/week
963,225,36,100,0,5,1,0,0,No Change
964,278,34,65,2,4,0,13,3,Add 1 shift/week
965,293,32,73,4,4,0,12,3,No Change
966,209,20,14,8,9,0,25,1,Add 1 shift/week
967,152,32,20,14,1,1,39,2,No Change
968,329,31,26,4,4,1,26,2,Increase Overtime
969,119,32,35,9,4,0,29,0,Increase Overtime
970,221,15,7,15,3,0,28,3,Reassign Workers
971,221,45,58,5,8,1,23,1,Add 1 shift/week
972,119,18,27,15,3,1,28,0,Increase Overtime
973,293,30,7,13,3,1,40,1,No Change
974,142,16,5,13,7,1,28,2,No Change
975,313,57,88,11,6,1,17,2,No Change
976,352,46,63,1,6,0,18,0,Add 1 shift/week
977,331,53,11,13,4,1,60,3,Add 1 shift/week
978,222,30,89,2,4,1,5,2,Add 1 shift/week
979,187,19,36,3,6,1,15,3,Add 1 shift/week
980,178,46,53,13,2,1,34,3,Increase Overtime
981,200,48,70,15,1,1,29,2,Add 1 shift/week
982,355,36,28,4,8,1,29,3,Add 1 shift/week
983,143,33,85,9,10,0,13,2,Increase Overtime
984,207,21,79,14,7,0,18,0,Add 1 shift/week
985,222,14,76,15,1,0,18,0,Add 1 shift/week
986,90,16,12,13,9,0,27,2,Reassign Workers
987,322,47,29,9,8,1,42,2,Reassign Workers
988,219,26,92,14,8,0,16,1,Add 1 shift/week
989,362,21,95,13,3,0,14,0,Add 1 shift/week
990,354,38,29,8,8,0,34,3,Reassign Workers
991,345,23,94,0,4,1,1,1,Increase Overtime
992,254,55,60,5,4,0,27,2,Add 1 shift/week
993,342,20,23,15,1,1,30,1,No Change
994,214,42,47,0,9,1,22,0,Increase Overtime
995,97,48,5,6,3,1,51,0,No Change
996,230,15,26,7,4,0,18,3,No Change
997,261,31,55,9,5,1,22,1,Add 1 shift/week
998,287,18,16,13,8,1,28,2,Reassign Workers
999,191,51,18,13,8,1,54,2,Add 1 shift/week
1000,196,44,80,12,8,1,20,3,Reassign Workers
